CRIME HEAD,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Rape,16075,16373,15847,18233,18359,19348,20737,21467,21397,22172,24206,24923,33707,36735,34651,38947,32559,33356,32033,28046,31677,31516
Kidnapping and Abduction of Women & Girls,14645,14506,13296,15578,15750,17414,20416,22939,25741,29795,35565,38262,51881,57311,59277,64519,66333,72751,72780,62300,75369,85310
Dowry Deaths,6851,6822,6208,7026,6787,7618,8093,8172,8383,8391,8618,8233,8233,8455,7634,7621,7466,7167,7115,6966,6753,6450
Assault on women with intent to outrage her modesty,34124,33943,32939,34567,34175,36617,38734,40413,38711,40613,42968,45351,70739,82235,82422,84746,86001,89097,88367,85392,89200,83344
Insult to the modesty of Women,9746,10155,12325,10001,9984,9966,10950,12214,11009,9961,8570,9173,12589,9735,8685,7305,7451,6992,6939,7065,7788,8972
Cruelty by Husband or his relatives,49170,49237,50703,58121,58319,63128,75930,81344,89546,94041,99135,106527,118866,122877,123403,110378,104551,103272,125298,111549,136234,140019
Importation of Girls from Foreign Country,114,76,46,89,149,67,61,67,48,36,80,59,31,13,6,12,5,4,3,1,2,1
Immoral Traffic (P) Act,8796,6598,5510,5748,5908,4541,3568,2660,2474,2499,2435,2563,2579,2617,2641,2337,2127,1882,1645,1294,1678,1497
Dowry Prohibition Act,3222,2816,2684,3592,3204,4504,5623,5555,5650,5182,6619,9038,10709,10050,9894,9683,10189,12826,13297,10366,13568,13479
Indecent Representation of Women (P) Act,1052,2508,1043,1378,2917,1562,1200,1025,845,895,453,141,362,47,40,38,25,22,23,12,28,28
Total Crimes against Women,143795,143034,140601,154333,155552,164765,185312,195856,203804,213585,228649,244270,309696,330075,328653,325586,316707,327369,347500,312991,362297,370616
