STATES/Uts,CRIME TYPE,CASES,YEAR,,,
Andhra Pradesh,Assault on women with intent to outrage her Modest,6930,2013,,,Andhra Pradesh
Arunachal Pradesh,Assault on women with intent to outrage her Modest,93,2013,,,
Assam,Assault on women with intent to outrage her Modest,2409,2013,,,
Bihar,Assault on women with intent to outrage her Modest,331,2013,,,
Chhattisgarh,Assault on women with intent to outrage her Modest,2261,2013,,,
Goa,Assault on women with intent to outrage her Modest,162,2013,,,
Gujarat,Assault on women with intent to outrage her Modest,1243,2013,,,
Haryana,Assault on women with intent to outrage her Modest,1560,2013,,,
Himachal Pradesh,Assault on women with intent to outrage her Modest,493,2013,,,
Jammu & Kashmir,Assault on women with intent to outrage her Modest,1389,2013,,,
Jharkhand,Assault on women with intent to outrage her Modest,524,2013,,,
Karnataka,Assault on women with intent to outrage her Modest,3913,2013,,,
Kerala,Assault on women with intent to outrage her Modest,4362,2013,,,
Madhya Pradesh,Assault on women with intent to outrage her Modest,8252,2013,,,
Maharashtra,Assault on women with intent to outrage her Modest,8132,2013,,,
Manipur,Assault on women with intent to outrage her Modest,59,2013,,,
Meghalaya,Assault on women with intent to outrage her Modest,98,2013,,,
Mizoram,Assault on women with intent to outrage her Modest,81,2013,,,
Nagaland,Assault on women with intent to outrage her Modest,18,2013,,,
Odisha,Assault on women with intent to outrage her Modest,4618,2013,,,
Punjab,Assault on women with intent to outrage her Modest,1045,2013,,,
Rajasthan,Assault on women with intent to outrage her Modest,4829,2013,,,
Sikkim,Assault on women with intent to outrage her Modest,29,2013,,,
Tamil Nadu,Assault on women with intent to outrage her Modest,1271,2013,,,
Tripura,Assault on women with intent to outrage her Modest,407,2013,,,
Uttar Pradesh,Assault on women with intent to outrage her Modest,7303,2013,,,
Uttarakhand,Assault on women with intent to outrage her Modest,295,2013,,,
West Bengal,Assault on women with intent to outrage her Modest,4913,2013,,,
Total (State),Assault on women with intent to outrage her Modest,67020,2013,,,
A&N Islands,Assault on women with intent to outrage her Modest,45,2013,,,
Chandigarh,Assault on women with intent to outrage her Modest,143,2013,,,
D&N Haveli,Assault on women with intent to outrage her Modest,1,2013,,,
Daman & Diu,Assault on women with intent to outrage her Modest,2,2013,,,
Delhi UT,Assault on women with intent to outrage her Modest,3515,2013,,,
Lakshadweep,Assault on women with intent to outrage her Modest,1,2013,,,
Puducherry,Assault on women with intent to outrage her Modest,12,2013,,,
Total (UTs),Assault on women with intent to outrage her Modest,3719,2013,,,
Total (All-India),Assault on women with intent to outrage her Modest,70739,2013,,,
Andhra Pradesh,Commission of Sati (P) Act,0,2013,,,
Arunachal Pradesh,Commission of Sati (P) Act,0,2013,,,
Assam,Commission of Sati (P) Act,0,2013,,,
Bihar,Commission of Sati (P) Act,0,2013,,,
