State/ UT,Sl. No.,District/ Area,Year,Rape,Attempt to commit Rape,Kidnapping & Abduction_Total,Dowry Deaths,Assault on Women with intent to outrage her Modesty_Total,Insult to the Modesty of Women_Total,Cruelty by Husband or his Relatives,Importation of Girls from Foreign Country,Abetment of Suicides of Women,"Dowry Prohibition Act, 1961","Indecent Representation of Women (P) Act, 1986",Protection of Children from Sexual Offences Act,"Protection of Women from Domestic Violence Act, 2005",Immoral Traffic Prevention Act,Total Crimes against Women
Andhra Pradesh,1,Anantapur,2014,35,1,106,25,436,26,165,0,0,229,0,0,0,0,1023
Andhra Pradesh,2,Chittoor,2014,32,0,34,17,135,94,278,0,0,0,0,0,0,4,594
Andhra Pradesh,3,Cuddapah,2014,28,4,16,16,215,12,91,0,20,175,0,0,0,5,582
Andhra Pradesh,4,East Godavari,2014,85,18,25,7,519,62,464,0,27,22,0,0,0,16,1245
Andhra Pradesh,5,Guntakal Railway,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,6,Guntur,2014,49,24,46,16,245,347,454,0,39,0,0,0,0,11,1231
Andhra Pradesh,7,Guntur Urban,2014,40,8,56,12,160,452,345,0,0,0,0,0,0,38,1111
Andhra Pradesh,8,Krishna,2014,80,20,34,8,354,232,613,0,35,0,0,0,0,4,1380
Andhra Pradesh,9,Kurnool,2014,32,4,37,12,403,251,362,0,26,39,0,0,0,2,1168
Andhra Pradesh,10,Nellore,2014,58,16,124,14,295,205,362,0,0,1,0,0,0,19,1094
Andhra Pradesh,11,Prakasham,2014,50,8,50,8,197,16,402,0,0,1,2,0,0,12,746
Andhra Pradesh,12,Rajahmundry,2014,35,3,8,3,121,27,190,0,3,0,0,0,0,0,390
Andhra Pradesh,13,Srikakulam,2014,40,3,10,3,214,91,298,0,22,0,1,0,0,3,685
Andhra Pradesh,14,Tirupathi Urban,2014,18,5,17,13,60,21,167,0,0,0,0,0,0,12,313
Andhra Pradesh,15,Vijayawada City,2014,64,4,27,10,279,212,642,0,29,0,0,0,0,50,1317
Andhra Pradesh,16,Vijayawada Railway,2014,0,0,2,2,8,6,1,0,4,0,0,0,0,0,23
Andhra Pradesh,17,Visakha Rural,2014,38,0,15,4,129,57,166,0,0,0,0,0,0,0,409
Andhra Pradesh,18,Visakhapatnam,2014,84,0,50,13,147,112,371,0,0,0,0,0,0,21,798
Andhra Pradesh,19,Vizianagaram,2014,47,1,19,8,225,327,330,0,0,1,0,0,0,2,960
Andhra Pradesh,20,West Godavari,2014,146,46,45,24,405,99,661,0,12,0,0,0,0,5,1443
Andhra Pradesh,21,Total District(s),2014,961,165,721,215,4547,2649,6362,0,217,468,3,0,0,204,16512
Arunachal Pradesh,1,Anjaw,2014,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2
Arunachal Pradesh,2,Changlang,2014,6,0,6,0,0,0,0,0,0,0,0,0,0,0,12
Arunachal Pradesh,3,Crime Branch,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,4,Dibang Valley,2014,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Arunachal Pradesh,5,Kameng East,2014,1,0,1,0,6,0,0,0,0,0,0,0,0,0,8
Arunachal Pradesh,6,Kameng West,2014,0,1,2,0,9,0,2,0,0,0,0,0,0,0,14
Arunachal Pradesh,7,Kurung Kumey,2014,3,0,0,0,1,0,0,0,0,0,0,0,0,0,4
Arunachal Pradesh,8,Lohit,2014,7,0,25,0,13,0,1,0,0,0,0,0,0,0,46
Arunachal Pradesh,9,Longding,2014,3,0,4,0,3,0,0,0,0,0,0,0,0,0,10
Arunachal Pradesh,10,Lower Dibang Valley,2014,3,0,2,0,0,0,0,0,0,0,0,0,0,0,5
Arunachal Pradesh,11,Papum Pare City,2014,32,2,36,1,26,0,21,0,0,0,0,0,0,0,118
Arunachal Pradesh,12,Papum Pare Rural,2014,0,0,4,0,4,0,0,0,0,0,0,0,0,0,8
Arunachal Pradesh,13,Siang East,2014,11,3,2,0,21,0,4,0,0,0,0,0,0,0,41
Arunachal Pradesh,14,Siang Upper,2014,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2
Arunachal Pradesh,15,Siang West,2014,6,3,1,0,11,3,8,0,0,0,0,0,0,0,32
Arunachal Pradesh,16,Subansiri Lower,2014,1,0,2,0,6,0,3,0,0,0,0,0,0,0,12
Arunachal Pradesh,17,Subansiri Upper,2014,5,1,2,0,16,0,3,0,0,0,0,0,0,0,27
Arunachal Pradesh,18,Tawang,2014,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Arunachal Pradesh,19,Tirap,2014,3,0,3,0,2,0,0,0,0,0,0,0,0,0,8
Arunachal Pradesh,20,Total District(s),2014,83,10,91,1,121,3,42,0,0,0,0,0,0,0,351
Assam,1,Barpeta,2014,143,0,359,21,556,0,1116,0,0,0,0,0,0,1,2196
Assam,2,Baksa,2014,26,0,36,4,27,0,77,0,0,4,0,0,0,0,174
Assam,3,Bongaigaon,2014,31,0,29,4,8,0,178,0,0,0,0,0,0,0,250
Assam,4,Cachar,2014,81,0,214,14,50,0,595,0,0,0,0,0,0,3,957
