State/ UT,Sl. No.,District/ Area,Year,Rape,Attempt to commit Rape,Kidnapping & Abduction_Total,Dowry Deaths,Assault on Women with intent to outrage her Modesty_Total,Insult to the Modesty of Women_Total,Cruelty by Husband or his Relatives,Importation of Girls from Foreign Country,Abetment of Suicides of Women,"Dowry Prohibition Act, 1961","Indecent Representation of Women (P) Act, 1986",Protection of Children from Sexual Offences Act,"Protection of Women from Domestic Violence Act, 2005",Immoral Traffic Prevention Act,Total Crimes against Women
Andhra Pradesh,1,Anantapur,2015,32,15,57,12,325,8,276,0,62,157,0,0,0,8,952
Andhra Pradesh,2,Chittoor,2015,31,0,20,10,94,1,202,0,0,0,0,0,0,8,366
Andhra Pradesh,3,Cuddapah,2015,34,7,17,6,211,82,317,0,3,11,0,0,0,2,690
Andhra Pradesh,4,East Godavari,2015,104,19,25,13,574,150,522,0,0,3,9,0,0,19,1438
Andhra Pradesh,5,Guntakal Railway,2015,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Andhra Pradesh,6,Guntur,2015,67,27,42,13,298,338,483,0,49,0,0,0,0,8,1325
Andhra Pradesh,7,Guntur Urban,2015,34,5,68,11,159,217,333,0,22,0,1,0,0,24,874
Andhra Pradesh,8,Krishna,2015,77,28,19,17,422,200,575,0,43,0,0,0,0,6,1387
Andhra Pradesh,9,Kurnool,2015,40,7,34,19,479,557,400,0,53,130,0,0,0,0,1719
Andhra Pradesh,10,Nellore,2015,69,18,64,5,314,132,422,0,34,0,0,0,0,5,1063
Andhra Pradesh,11,Prakasham,2015,67,11,44,10,276,12,427,0,38,1,2,0,0,18,906
Andhra Pradesh,12,Rajahmundry,2015,29,2,16,1,120,56,207,0,4,0,0,0,0,0,435
Andhra Pradesh,13,Srikakulam,2015,47,5,28,6,119,21,214,0,16,0,0,0,0,4,460
Andhra Pradesh,14,Tirupathi Urban,2015,20,3,16,7,40,22,106,0,6,0,0,0,0,8,228
Andhra Pradesh,15,Vijayawada City,2015,53,2,26,11,196,123,181,0,24,0,0,0,0,25,641
Andhra Pradesh,16,Vijayawada Railway,2015,2,0,0,1,7,8,0,0,4,0,0,0,0,0,22
Andhra Pradesh,17,Visakha Rural,2015,39,0,23,3,107,43,128,0,0,0,0,0,0,0,343
Andhra Pradesh,18,Visakhapatnam,2015,87,2,126,7,257,9,383,0,0,0,0,0,0,31,902
Andhra Pradesh,19,Vizianagaram,2015,34,0,11,5,191,91,282,0,3,1,0,0,0,7,625
Andhra Pradesh,20,West Godavari,2015,160,55,48,17,427,130,663,0,23,0,0,0,0,31,1554
Andhra Pradesh,21,Total District(s),2015,1027,206,684,174,4616,2200,6121,0,384,303,12,0,0,204,15931
Arunachal Pradesh,1,Anjaw,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2,Changlang,2015,5,0,7,0,5,0,4,0,0,0,0,0,0,0,21
Arunachal Pradesh,3,Crime Branch,2015,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Arunachal Pradesh,4,Dibang Valley,2015,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Arunachal Pradesh,5,Kameng East,2015,4,0,1,0,7,0,0,0,0,0,0,0,0,0,12
Arunachal Pradesh,6,Kameng West,2015,1,0,3,0,5,0,1,0,0,0,0,0,0,0,10
Arunachal Pradesh,7,Kurung Kumey,2015,2,0,3,0,0,0,0,0,0,0,0,0,0,0,5
Arunachal Pradesh,8,Lohit,2015,6,0,21,0,12,0,4,0,0,0,0,0,0,0,43
Arunachal Pradesh,9,Longding,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,10,Lower Dibang Valley,2015,1,1,6,0,3,0,0,0,0,0,0,0,0,0,11
Arunachal Pradesh,11,Papum Pare City,2015,17,0,62,0,25,2,30,0,0,0,0,0,0,1,137
Arunachal Pradesh,12,Papum Pare Rural,2015,1,0,2,0,2,0,1,0,0,0,0,0,0,0,6
Arunachal Pradesh,13,Siang East,2015,10,5,9,0,15,0,8,0,0,0,0,0,0,0,47
Arunachal Pradesh,14,Siang Upper,2015,1,0,1,0,3,0,2,0,0,0,0,0,0,0,7
Arunachal Pradesh,15,Siang West,2015,12,0,6,0,6,0,4,0,0,0,0,0,0,1,29
Arunachal Pradesh,16,Subansiri Lower,2015,6,0,0,0,2,0,3,0,0,0,0,0,0,0,11
Arunachal Pradesh,17,Subansiri Upper,2015,1,3,1,0,11,0,8,0,2,0,0,0,0,0,26
Arunachal Pradesh,18,Tawang,2015,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2
Arunachal Pradesh,19,Tirap,2015,2,0,6,0,2,0,0,0,0,0,0,0,0,0,10
Arunachal Pradesh,20,Siang,2015,1,3,0,0,1,0,0,0,0,0,0,0,0,0,5
Arunachal Pradesh,21,Total District(s),2015,71,12,128,0,101,2,66,0,2,0,0,0,0,2,384
Assam,1,B. I. E. O.,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,2,Barpeta,2015,124,176,373,22,461,20,1503,0,0,0,0,0,0,3,2682
Assam,3,Baksa,2015,46,12,128,4,96,4,78,0,0,5,0,0,0,1,374
Assam,4,Bongaigaon,2015,37,0,131,14,15,0,175,0,0,0,0,0,0,0,372
Assam,5,C. I. D.,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Assam,6,Cachar,2015,59,9,234,8,70,0,597,0,0,4,0,0,0,5,986
Assam,7,Chirang,2015,18,0,44,3,27,4,106,0,0,0,0,0,0,0,202
Assam,8,Darrang,2015,77,13,198,10,502,0,432,0,0,4,0,0,0,1,1237
Assam,9,Dhemaji,2015,34,13,44,6,94,3,139,0,0,0,0,0,0,4,337
Assam,10,Dhubri,2015,158,67,399,19,434,1,911,0,0,30,0,0,0,2,2021
Assam,11,Dibrugarh,2015,29,0,184,3,84,0,380,0,0,0,0,0,0,0,680
Assam,12,G. R. P.,2015,0,0,4,0,4,0,0,0,0,0,0,0,0,0,8
Assam,13,Goalpara,2015,84,18,62,3,238,0,691,0,0,0,0,0,0,0,1096
Assam,14,Golaghat,2015,56,11,167,5,120,0,292,0,0,0,0,0,0,1,652
Assam,15,Guwahati City,2015,80,9,651,12,239,59,677,0,0,0,0,0,0,12,1739
Assam,16,Hailakandi,2015,90,0,89,4,203,3,279,0,0,0,0,0,0,0,668
Assam,17,Hamren,2015,10,0,16,0,0,0,33,0,0,0,0,0,0,0,59
Assam,18,Jorhat,2015,53,10,176,5,161,13,292,0,0,0,0,0,0,1,711
Assam,19,Kamrup,2015,82,6,207,12,139,0,416,0,0,0,0,0,0,0,862
Assam,20,Karbi Anglong,2015,37,7,68,2,20,0,38,0,0,0,0,0,0,0,172
Assam,21,Karimganj,2015,65,0,136,13,246,0,242,0,0,0,0,0,0,0,702
Assam,22,Kokrajhar,2015,32,0,98,2,122,0,223,0,0,0,0,0,0,0,477
Assam,23,Lakhimpur,2015,69,23,182,10,74,0,377,0,0,0,0,0,0,0,735
Assam,24,Morigaon,2015,86,7,182,2,146,0,414,0,0,0,0,0,0,0,837
Assam,25,Dima Hasao,2015,5,1,16,0,5,0,3,0,0,0,0,0,0,2,32
Assam,26,Nagaon,2015,95,45,328,19,105,0,890,0,0,0,0,0,0,4,1486
Assam,27,Nalbari,2015,36,0,102,3,43,1,188,0,0,0,0,0,0,0,373
Assam,28,R. P. O.,2015,8,0,3,0,3,0,11,0,0,0,0,0,0,0,25
Assam,29,S. T. F.,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,30,Sibsagar,2015,35,6,290,2,249,0,331,0,0,3,0,0,0,3,919
Assam,31,Sonitpur,2015,43,25,136,10,28,0,503,0,0,0,0,0,0,1,746
Assam,32,Tinsukia,2015,27,14,14,2,42,0,185,0,0,49,0,0,0,0,333
Assam,33,Udalguri,2015,22,0,63,4,30,0,76,0,0,0,0,0,0,0,195
Assam,34,Sadia,2015,10,0,6,0,4,0,14,0,0,0,0,0,0,0,34
Assam,35,Majuli,2015,5,0,6,0,14,0,19,0,0,0,0,0,0,0,44
Assam,36,Biswanath,2015,34,0,106,3,28,0,212,0,0,0,0,0,0,5,388
Assam,37,Hojai,2015,44,15,138,7,117,3,295,0,0,0,0,0,0,0,619
Assam,38,South Salmara,2015,43,12,58,7,130,0,203,0,0,0,0,0,0,1,454
Assam,39,Total District(s),2015,1733,499,5039,216,4293,111,11225,0,0,95,0,0,0,47,23258
Bihar,1,Araria,2015,50,4,81,23,0,0,60,0,0,12,0,0,0,0,230
Bihar,2,Arwal,2015,10,3,28,15,10,1,38,0,0,18,0,0,0,0,123
Bihar,3,Aurangabad,2015,21,6,46,45,1,0,95,0,0,57,0,0,0,0,271
Bihar,4,Bagaha,2015,12,5,68,13,5,0,40,0,0,22,0,0,0,0,165
